seqnames sRNA_ID start end strand distance TSS tss_source citation
H37Rv ncRv1298 1455386 1455461 + 115 1455270 Shell Gerrick2018
H37Rv ncRv11298 1455406 1455461 + 135 1455270 Shell Gerrick2018
H37Rv ncRv11315A 1471620 1471865 + 36 1471657 Cortes Gerrick2018
H37Rv ncRv11315B 1473385 1473509 + 0 1473385 Cortes Gerrick2018Dejesus2017
H37Rv ncRv11315C 1476586 1476885 + 310 1476897 Cortes Gerrick2018
H37Rv ncRv11315D 1476976 1477061 + 78 1476897 Cortes Gerrick2018
H37Rv ncRv1324 1487997 1488133 + 835 1487161 CortesShell Gerrick2018
H37Rv ncRv1329 1497132 1497220 + 2567 1494564 Shell Gerrick2018
H37Rv ncRv1389 1564297 1564499 + 114 1564412 Cortes Gerrick2018
H37Rv ncRv10128 156452 156568 + 199 156252 CortesShell Gerrick2018
H37Rv ncRv10128c 156519 156568 - 1084 157653 Shell Gerrick2018
H37Rv ncRv1404 1581047 1581140 + 25 1581021 Cortes Gerrick2018
H37Rv ncRv11429 1606254 1606319 + 0 1606253 Cortes Gerrick2018
H37Rv ncRv1461 1646930 1647224 + 671 1646258 CortesShell Gerrick2018
H37Rv ncRv1501 1692652 1692737 + 5 1692646 CortesShell Dejesus2017
H37Rv ncRv11534 1735508 1735687 + 0 1735508 CortesShell Gerrick2018
H37Rv ncRv10150c 177236 177285 - 55 177341 Cortes Gerrick2018
H37Rv ncRv11565c 1773845 1773907 - 17 1773889 Cortes Gerrick2018
H37Rv ncRv1617 1816131 1816235 + 57 1816189 Shell Gerrick2018
H37Rv ncRv1621Ac 1821646 1821753 - 514 1822268 Shell Gerrick2018
H37Rv ncRv1621Bc 1821646 1821881 - 386 1822268 Shell Gerrick2018
H37Rv ncRv1621c 1821653 1821760 - 507 1822268 Shell Dejesus2017
H37Rv ncRv1626 1828761 1828849 + 580 1828180 Shell Gerrick2018
H37Rv ncRv11689Ac 1914963 1915028 - 0 1915028 Cortes Gerrick2018
H37Rv ncRv11689Bc 1915034 1915091 - 62 1915028 Cortes Gerrick2018
H37Rv ncRv11733 1960667 1960774 + 1 1960665 Cortes Gerrick2018
H37Rv ncRv11779c 2014582 2014627 - 0 2014627 CortesShell Gerrick2018
H37Rv ncRv11793 2030986 2031034 + 308 2030677 Shell Gerrick2018
H37Rv ncRv1796 2033679 2033904 + 185 2033493 Cortes Gerrick2018
H37Rv ncRv11803 2046922 2046995 + 0 2046922 Cortes Gerrick2018
H37Rv ncRv11817c 2061060 2061143 - 29 2061173 Cortes Gerrick2018
H37Rv ncRv1821 2068863 2068962 + 99 2068963 Cortes Gerrick2018
H37Rv ncRv11829 2074745 2074827 + 3 2074749 Cortes Gerrick2018
H37Rv ncRv11846 2096758 2096863 + 1 2096760 Cortes Gerrick2018
H37Rv ncRv0179 209683 209800 + 387 210071 Shell Gerrick2018
H37Rv ncRv0186 218318 218381 + 73 218392 Cortes Gerrick2018
H37Rv ncRv0186c 218320 218379 - 230 218610 CortesShell Gerrick2018
H37Rv ncRv12023 2268164 2268231 + 2 2268167 CortesShell Gerrick2018
H37Rv ncRv2165Ac 2429342 2429502 - 0 2429503 Cortes Gerrick2018
H37Rv ncRv12196 2461328 2461464 + 821 2460506 Cortes Gerrick2018
H37Rv ncRv2197c 2461394 2461511 - 557 2460953 Cortes Gerrick2018
H37Rv ncRv2213c 2479780 2479905 - 812 2480718 Shell Gerrick2018
H37Rv ncRv2214c 2479780 2480069 - 648 2480718 Shell Gerrick2018
H37Rv ncRv12220A 2489055 2489252 + 1446 2487608 Cortes Gerrick2018
H37Rv ncRv12220B 2489205 2489260 + 1596 2487608 Cortes Gerrick2018lDejesus2017
H37Rv ncRv2237 2510162 2510341 + 0 2510161 CortesShell Gerrick2018
H37Rv ncRv12237c 2510260 2510339 - 202 2510542 CortesShell Gerrick2018
H37Rv ncRv2245 2518022 2518132 + 704 2517317 Cortes Gerrick2018
H37Rv ncRv2247 2522152 2522224 + 3219 2525372 CortesShell Gerrick2018
H37Rv ncRv2346c 2625801 2625981 - 213 2626195 Cortes Gerrick2018
H37Rv ncRv2395 2692172 2692404 + 5 2692166 Shell Gerrick2018
H37Rv ncRv12444c 2744989 2745080 - 145 2745226 Shell Gerrick2018
H37Rv ncRv2454c 2753582 2753692 - 723 2752968 Shell Gerrick2018
H37Rv ncRv12459 2762419 2762494 + 598 2763018 Shell Dejesus2017
H37Rv ncRv0233 279379 279584 + 7 279387 CortesShell Gerrick2018
H37Rv ncRv12497c 2812101 2812274 - 0 2812274 CortesShell Gerrick2018
H37Rv ncRv0236c 286844 286901 - 3 286897 Cortes Gerrick2018
H37Rv ncRv12557 2877751 2877807 + 115 2877867 CortesShell Gerrick2018
H37Rv ncRv10243A 293527 293667 + 76 293604 Cortes Gerrick2018
H37Rv ncRv10243B 293603 293663 + 0 293604 Cortes Gerrick2018Dejesus2017
H37Rv ncRv10243c 293665 293712 - 102 293815 Cortes Gerrick2018
H37Rv ncRv2624 2950409 2950584 + 0 2950409 Cortes Gerrick2018
H37Rv ncRv12641 2966405 2966450 + 127 2966533 Cortes Gerrick2018
H37Rv ncRv12649c 2973672 2973791 - 693 2973097 Cortes Gerrick2018
H37Rv ncRv12659 2980911 2981083 + 0 2980911 Shell Gerrick2018
H37Rv ncRv12674 2991119 2991174 + 412 2990706 CortesShell Gerrick2018
H37Rv ncRv12710 3023435 3023497 + 25 3023461 Cortes Gerrick2018
H37Rv ncRv12765c 3075379 3075433 - 525 3074907 Shell Gerrick2018
H37Rv ncRv12783c 3092761 3092889 - 3 3092885 CortesShell Gerrick2018
H37Rv ncRv2789c 3097653 3097719 - 666 3098386 Cortes Gerrick2018
H37Rv ncRv2791Ac 3100156 3100341 - 1929 3102271 Shell Gerrick2018
H37Rv ncRv2791Bc 3100156 3100377 - 1893 3102271 Shell Gerrick2018
H37Rv ncRv2796c 3104990 3105073 - 161 3104911 Shell Gerrick2018
H37Rv ncRv12803 3112324 3112402 + 309 3112014 CortesShell Gerrick2018
H37Rv ncRv2840c 3148103 3148316 - 0 3148316 Shell Gerrick2018
H37Rv ncRv2841 3148341 3148436 + 0 3148342 Shell Gerrick2018
H37Rv ncRv2861c 3173101 3173170 - 43 3173126 Cortes Gerrick2018
H37Rv ncRv2885 3194139 3194249 + 768 3193370 Shell Gerrick2018
H37Rv ncRv2926c 3240464 3240614 - 520 3241135 Cortes Gerrick2018
H37Rv ncRv12950c 3302595 3302692 - 0 3302692 CortesShell Gerrick2018
H37Rv ncRv2964 3316459 3316614 + 56 3316516 Shell Gerrick2018
H37Rv ncRv2986Ac 3343113 3343216 - 0 3343216 Cortes Gerrick2018
H37Rv ncRv2986Bc 3343113 3343246 - 29 3343216 Cortes Gerrick2018
H37Rv ncRv2986c 3343123 3343226 - 9 3343216 Cortes Dejesus2017
H37Rv ncRv2993c 3350950 3351071 - 0 3351071 CortesShell Gerrick2018
H37Rv ncRv13003c 3363019 3363152 - 0 3363152 Shell Gerrick2018
H37Rv ncRv3009 3367227 3367347 + 0 3367227 Shell Gerrick2018
H37Rv ncRv13053c 3415195 3415325 - 0 3415325 Shell Gerrick2018
H37Rv ncRv13059 3421005 3421100 + 207 3421213 CortesShell Gerrick2018
H37Rv ncRv3061 3423239 3423349 + 378 3422860 Shell Gerrick2018
H37Rv ncRv3062 3425499 3425632 + 0 3425499 Cortes Gerrick2018
H37Rv ncRv3140 3507781 3508051 + 313 3508095 Cortes Gerrick2018
H37Rv ncRv13191 3558709 3558799 + 46 3558662 Shell Gerrick2018
H37Rv ncRv13210 3587651 3587785 + 41 3587609 CortesShell Gerrick2018
H37Rv ncRv3213c 3590641 3590875 - 693 3591569 CortesShell Gerrick2018
H37Rv ncRv3220 3595948 3596056 + 132 3595815 Cortes Dejesus2017
H37Rv ncRv3219 3595951 3596019 + 135 3595815 Cortes Gerrick2018
H37Rv ncRv3248c 3628095 3628180 - 505 3627674 Shell Gerrick2018
H37Rv ncRv3285 3666307 3666546 + 6 3666300 Shell Gerrick2018
H37Rv ncRv13303 3690941 3691060 + 83 3690857 Shell Gerrick2018
H37Rv ncRv3312c 3700701 3700749 - 266 3701016 CortesShell Gerrick2018
H37Rv ncRv13317 3704917 3704981 + 932 3703984 CortesShell Gerrick2018
H37Rv ncRv13319c 3707580 3707640 - 437 3707202 Shell Gerrick2018
H37Rv ncRv3402c 3820566 3820714 - 151 3820866 CortesShell Gerrick2018
H37Rv ncRv0314 382877 382979 + 9 382887 Cortes Gerrick2018
H37Rv ncRv13418Ac 3837297 3837458 - 0 3837458 CortesShell Gerrick2018
H37Rv ncRv13418Bc 3837346 3837458 - 0 3837458 CortesShell Gerrick2018
H37Rv ncRv13418cA 3837477 3837638 - 179 3837458 CortesShell Dejesus2017
H37Rv ncRv13418cB 3837526 3837638 - 179 3837458 CortesShell Dejesus2017
H37Rv ncRv3424 3841611 3841741 + 44 3841566 CortesShell Gerrick2018
H37Rv ncRv3461c 3880410 3880473 - 151 3880321 Cortes Dejesus2017
H37Rv ncRv3520 3956470 3956729 + 919 3955550 Shell Dejesus2017
H37Rv ncRv3555 3994763 3994831 + 854 3995618 CortesShell Gerrick2018
H37Rv ncRv3566c 4008416 4008489 - 1773 4010263 Shell Gerrick2018
H37Rv ncRv3575 4017088 4017168 + 696 4016391 Shell Gerrick2018
H37Rv ncRv3582c 4024269 4024488 - 140 4024347 Shell Gerrick2018
H37Rv ncRv13635 4075410 4075455 + 256 4075667 Shell Gerrick2018
H37Rv ncRv3648c 4088267 4088350 - 161 4088188 CortesShell Gerrick2018
H37Rv ncRv13660Ac 4099381 4099442 - 31 4099474 Shell Gerrick2018
H37Rv ncRv13660Bc 4099384 4099477 - 2 4099480 Cortes Gerrick2018
H37Rv ncRv13660c 4099562 4099655 - 174 4099480 Cortes Dejesus2017
H37Rv ncRv13661A 4100683 4100987 + 2 4100680 Cortes Gerrick2018Arnvig2009DiChiara2010
H37Rv ncRv13661B 4101158 4101232 + 0 4101158 Cortes Gerrick2018
H37Rv ncRv13707c 4151043 4151091 - 1188 4149902 CortesShell Gerrick2018
H37Rv ncRv13709A 4153538 4153607 + 24 4153513 Cortes Gerrick2018
H37Rv ncRv13709B 4153620 4153691 + 0 4153620 Shell Gerrick2018
H37Rv ncRv13709C 4153620 4153713 + 0 4153620 Shell Gerrick2018
H37Rv ncRv0346c 415475 415547 - 577 414969 CortesShell Gerrick2018
H37Rv ncRv3714c 4159796 4159886 - 421 4160308 Cortes Gerrick2018
H37Rv ncRv13722c 4168192 4168281 - 0 4168281 CortesShell Gerrick2018
H37Rv ncRv13803c 4265583 4265630 - 98 4265531 Cortes Gerrick2018
H37Rv ncRv3804c 4265583 4265765 - 8 4265756 Cortes Gerrick2018
H37Rv ncRv13809c 4273549 4273615 - 0 4273615 CortesShell Gerrick2018
H37Rv ncRv3842 4314704 4314984 + 337 4314366 Cortes Gerrick2018
H37Rv ncRv13843c 4316635 4316724 - 0 4316724 Cortes Gerrick2018
H37Rv ncRv3848 4322250 4322330 + 74 4322175 CortesShell Gerrick2018
H37Rv ncRv3850 4323899 4324126 + 70 4323970 Shell Gerrick2018
H37Rv ncRv3875 4352801 4352974 + 230 4352570 Cortes Gerrick2018
H37Rv ncRv3890c 4373660 4373787 - 636 4374424 CortesShell Gerrick2018
H37Rv ncRv13907 4393229 4393358 + 38 4393190 CortesShell Gerrick2018
H37Rv ncRv0046c 49956 50033 - 757 50791 Cortes Gerrick2018
H37Rv ncRv0047c 51723 51779 - 2 51782 Shell Gerrick2018
H37Rv ncRv0440 530097 530288 + 389 530487 CortesShell Gerrick2018
H37Rv ncRv10440c 530246 530295 - 428 530724 Cortes Gerrick2018
H37Rv ncRv0441Ac 530246 530353 - 370 530724 Cortes Gerrick2018
H37Rv ncRv0441Bc 530246 530425 - 298 530724 Cortes Gerrick2018
H37Rv ncRv0441c 530249 530356 - 367 530724 Cortes Dejesus2017
H37Rv ncRv0467 558801 558885 + 22 558824 Shell Gerrick2018
H37Rv ncRv10467 558818 558887 + 5 558824 Shell Dejesus2017
H37Rv ncRv0475 566256 566454 + 33 566222 Shell Gerrick2018
H37Rv ncRv10475 566402 566455 + 81 566484 CortesShell Gerrick2018
H37Rv ncRv0490 579290 579378 + 0 579290 CortesShell Gerrick2018
H37Rv ncRv0053 58117 58193 + 0 58117 CortesShell Gerrick2018
H37Rv ncRv10609 704185 704247 + 2 704188 Shell Gerrick2018Arnvig2009
H37Rv ncRv10637 733361 733459 + 0 733362 Cortes Gerrick2018
H37Rv ncRv0638 734118 734244 + 13 734104 CortesShell Gerrick2018
H37Rv ncRv0641 736002 736284 + 712 736715 Cortes Gerrick2018
H37Rv ncRv10666 759480 759610 + 0 759480 Shell Gerrick2018
H37Rv ncRv0668 767311 767378 + 199 767111 CortesShell Gerrick2018
H37Rv ncRv10668 767334 767378 + 222 767111 CortesShell Gerrick2018
H37Rv ncRv0685 785795 786071 + 324 786120 CortesShell Gerrick2018
H37Rv ncRv10685 786021 786071 + 98 786120 CortesShell Gerrick2018
H37Rv ncRv10699 800268 800314 + 64 800203 CortesShell Gerrick2018
H37Rv ncRv10071 80239 80441 + 0 80240 CortesShell Gerrick2018
H37Rv ncRv10071c 80254 80344 - 2 80341 Cortes Gerrick2018
H37Rv ncRv0710 806130 806220 + 97 806032 Cortes Gerrick2018
H37Rv ncRv10710c 806180 806282 - 0 806281 Cortes Gerrick2018
H37Rv ncRv10713 811228 811296 + 0 811228 CortesShell Gerrick2018
H37Rv ncRv0724 815420 815688 + 307 815728 Cortes Dejesus2017
H37Rv ncRv0751 842236 842354 + 206 842029 CortesShell Gerrick2018
H37Rv ncRv0810c 905078 905167 - 3 905163 CortesShell Dejesus2017
H37Rv ncRv10815c 909328 909369 - 211 909581 CortesShell Gerrick2018
H37Rv ncRv0820 913454 913530 + 188 913643 Cortes Gerrick2018
H37Rv ncRv0822c 916265 916424 - 0 916423 CortesShell Gerrick2018
H37Rv ncRv0860 958344 958509 + 587 958932 Cortes Gerrick2018
H37Rv ncRv10860 958459 958509 + 472 958932 Cortes Gerrick2018
H37Rv ncRv10006 9824 9877 + 1044 10869 Cortes Gerrick2018
