"SRR5689224_sorted"	"SRR5689225_sorted"	"SRR5689226_sorted"	"SRR5689227_sorted"	"SRR5689228_sorted"	"SRR5689229_sorted"	"SRR5689230_sorted"	"SRR5689231_sorted"	"SRR5689232_sorted"	"SRR5689233_sorted"	"SRR5689234_sorted"	"SRR5689235_sorted"
"gene:Rv0037c"	2152	2233	765	1103	3120	1636	1934	1717	611	685	1164	2822
"gene:Rv0038"	4023	4604	1186	1530	5045	2240	3686	3955	1583	1514	2592	4997
"gene:Rv0039c"	1906	2183	326	439	754	165	1278	788	369	367	224	403
"gene:Rv0040c"	9014	8344	524	686	2933	569	6238	4460	1447	871	954	505
"gene:Rv0041"	4351	4303	1540	1920	3606	1025	1446	1150	773	683	1052	2860
"gene:Rv0042c"	4051	3502	298	384	778	168	1407	1330	242	265	142	338
"gene:Rv0043c"	1217	1205	344	511	995	356	1308	1210	405	329	164	266
"gene:Rv0044c"	1310	1612	501	734	502	130	1349	1574	328	328	188	453
"gene:Rv0045c"	1471	1373	816	1046	5541	1282	830	618	531	521	1966	2426
"gene:Rv0046c"	4292	4370	3335	4203	44808	11026	10952	8554	2693	2507	21824	15659
"gene:Rv0047c"	1964	1969	1679	1909	26037	10592	2441	1484	817	832	13227	8543
"gene:Rv0048c"	945	868	116	158	1163	259	373	267	78	91	346	1116
"gene:Rv0049"	4006	4450	413	554	4955	1244	2493	1976	680	660	2196	5508
"gene:Rv0050"	12754	12064	542	759	5804	1334	3469	3089	1337	1220	2448	6625
"gene:Rv0051"	3791	3960	141	192	1230	224	1384	1365	433	396	444	1201
"gene:Rv0052"	957	988	41	57	305	55	339	331	97	100	122	259
"gene:Rv0053"	1888	1645	237	323	4120	1195	727	535	185	296	725	1790
"gene:Rv0054"	2393	2106	286	424	3299	838	1101	851	256	295	516	1169
"gene:Rv0055"	1517	1516	237	270	1527	298	799	629	169	188	268	578
"gene:Rv0056"	3489	3230	347	477	2952	473	1969	2008	527	569	545	1316
"gene:Rv0057"	1272	973	80	121	618	92	248	168	67	90	62	277
"gene:Rv0058"	7998	7515	469	657	2404	619	4877	3542	736	780	637	1328
"gene:Rv0059"	511	496	18	38	126	19	111	97	30	17	33	68
"gene:Rv0060"	3227	3052	1166	1556	3412	1271	2919	2739	1173	1175	1249	4103
"gene:Rv0061c"	3917	4013	806	976	7647	2384	2527	2293	939	1064	1425	2331
"gene:Rv0062"	2289	2195	241	301	2324	797	485	264	50	88	732	1924
"gene:Rv0063"	3134	2796	326	444	1761	183	2128	1212	617	1060	147	428
"gene:Rv0064"	9617	8437	7518	10028	28768	9144	11469	10713	17083	11085	11221	36839
"gene:Rv0064A"	240	248	161	180	899	199	246	205	554	291	145	884
"gene:Rv0065"	325	279	144	166	721	238	210	133	365	229	158	1191
"gene:Rv0066c"	4896	4577	622	897	4926	1608	3173	2994	641	574	1596	1101
"gene:Rv0067c"	348	364	225	278	372	115	325	340	146	174	339	341
"gene:Rv0068"	226	212	202	232	1068	265	198	212	83	82	2580	691
"gene:Rv0069c"	1691	1455	196	279	588	304	358	287	73	115	923	699
"gene:Rv0070c"	1220	1079	187	291	814	439	238	208	40	60	874	723
"gene:Rv0071"	177	195	115	170	107	38	85	67	26	33	68	111
"gene:Rv0072"	4930	4241	314	479	2297	599	1214	843	284	371	515	654
"gene:Rv0073"	4094	3888	263	319	1512	340	1823	1639	361	430	482	705
"gene:Rv0074"	2590	2627	226	310	921	208	1106	1033	308	351	390	562
"gene:Rv0075"	2529	2380	535	774	1282	352	994	823	424	428	366	725
"gene:Rv0076c"	156	138	272	435	558	320	59	46	40	26	337	554
"gene:Rv0077c"	192	213	1554	2130	1698	291	419	285	132	106	879	3140
"gene:Rv0078"	215	206	266	353	178	55	119	50	22	32	77	194
"gene:Rv0078A"	3029	3144	886	1092	4615	1702	1170	934	947	649	1928	4582
"gene:Rv0078B"	936	1005	357	422	1662	520	838	812	272	204	716	1530
"gene:Rv0079"	18935	25150	3763	5035	75305	30588	37588	24163	4908	5962	36946	34181
"gene:Rv0080"	7686	8807	646	968	20040	7323	17152	8967	949	1262	14538	11493
"gene:Rv0081"	2048	2005	141	167	4171	1299	2583	1229	111	120	1401	1437
"gene:Rv0082"	1841	1798	151	195	2655	780	3341	1446	36	56	934	1289
"gene:Rv0083"	4116	3932	341	481	4191	1079	5811	2722	84	79	1853	2631
"gene:Rv0084"	4153	3551	350	526	3329	592	8162	4141	242	309	1429	1887
"gene:Rv0085"	1870	1429	129	213	1182	198	3912	2085	35	48	603	846
"gene:Rv0086"	3732	3102	441	610	2226	354	5771	3299	213	266	899	1344
"gene:Rv0087"	1823	1343	180	226	1338	197	1694	1034	53	54	385	573
"gene:Rv0088"	3219	2836	402	592	5814	1970	2706	2010	1138	708	1058	1339
"gene:Rv0089"	1016	927	300	426	2197	483	924	541	780	481	463	723
"gene:Rv0090"	163	108	106	178	259	85	123	57	82	90	71	110
"gene:Rv0091"	297	293	90	149	598	273	109	89	40	41	113	373
"gene:Rv0092"	2549	2793	496	753	1789	524	1138	919	985	988	556	1390
"gene:Rv0093c"	907	952	1272	1915	1012	327	478	403	355	215	453	705
"gene:Rv0094c"	80	85	160	302	79	38	69	60	23	21	25	59
"gene:Rv0095c"	89	86	731	990	147	51	124	121	28	17	30	91
"gene:Rv0096"	466	489	82	133	550	199	112	78	31	23	56	242
"gene:Rv0097"	944	930	126	223	698	209	144	110	45	43	108	318
"gene:Rv0098"	598	543	99	113	326	92	67	71	48	40	58	123
"gene:Rv0099"	3117	2889	365	479	1453	328	327	251	187	163	289	781
"gene:Rv0100"	283	319	16	33	90	17	39	22	17	11	12	45
"gene:Rv0101"	15459	14738	1356	1843	2947	653	1577	1426	438	424	542	1759
"gene:Rv0102"	5904	5708	3329	4467	3819	1202	5168	4409	2009	1670	1293	3066
"gene:Rv0103c"	6737	6957	1171	1671	4825	1604	2212	1687	874	823	1199	2415
"gene:Rv0104"	536	450	713	988	238	81	407	302	105	172	101	182
"gene:Rv0105c"	31	17	21	37	9	4	10	11	2	0	4	5
"gene:Rv0106"	2796	2587	1042	1578	414	76	2034	1001	142	188	131	170
"gene:Rv0107c"	8469	7913	757	1081	6387	2261	6057	5944	741	1372	5293	3062
"gene:Rv0108c"	5938	5312	308	344	9469	5211	4095	3873	456	887	6972	4170
"gene:Rv0109"	403	406	281	430	1095	211	361	293	102	132	267	214
"gene:Rv0110"	696	639	157	212	360	84	241	217	70	106	117	183
"gene:Rv0111"	1205	1369	374	510	553	160	625	387	55	106	97	236
"gene:Rv0112"	1103	973	556	721	2571	656	262	168	43	91	207	432
"gene:Rv0113"	792	700	169	263	1129	181	431	417	37	60	120	309
"gene:Rv0114"	343	340	78	97	267	42	212	199	10	21	41	134
"gene:Rv0115"	791	751	137	203	438	73	559	448	45	80	85	234
"gene:Rv0116c"	979	991	599	740	7666	2463	1309	1251	869	487	2039	3796
"gene:Rv0117"	415	456	290	427	798	164	356	248	239	233	194	322
"gene:Rv0118c"	3472	3696	163	229	1183	531	3930	3744	215	157	407	1186
"gene:Rv0119"	1302	1174	314	422	1124	369	534	401	55	64	388	671
"gene:Rv0120c"	3175	3173	464	682	3739	1069	5846	6927	2626	1153	2744	2373
"gene:Rv0121c"	489	522	222	235	907	290	186	152	282	134	330	1080
"gene:Rv0122"	81	88	149	164	528	201	55	68	71	47	125	303
"gene:Rv0123"	153	142	202	268	849	380	129	122	154	115	287	774
"gene:Rv0124"	218	230	365	511	1828	269	175	193	601	424	650	533
"gene:Rv0125"	5718	5708	1048	1619	8148	1910	2803	2102	1307	1334	2876	4299
"gene:Rv0126"	4128	3833	540	675	2880	605	1660	1582	869	718	967	1806
"gene:Rv0127"	3453	3336	679	899	3105	682	1192	1003	1032	964	891	1675
"gene:Rv0128"	684	658	329	455	1129	305	349	284	260	294	284	484
"gene:Rv0129c"	11136	11024	330	510	14059	952	15601	10048	891	1797	642	543
"gene:Rv0130"	289	275	85	89	296	108	95	63	10	36	106	154
"gene:Rv0131c"	906	848	589	773	2083	601	773	596	311	278	690	884
"gene:Rv0132c"	359	405	476	744	1196	307	402	377	317	215	531	1619
"gene:Rv0133"	2389	2540	705	976	1152	216	1144	772	645	712	393	1216
"gene:Rv0134"	5258	5345	1208	1659	3108	1294	1484	1031	581	820	1913	2087
"gene:Rv0135c"	1596	1618	2759	3539	5712	3364	869	586	541	717	9005	5544
"gene:Rv0136"	801	823	1612	2053	5745	2668	1546	1419	1523	1140	15343	6288
"gene:Rv0137c"	913	902	822	1088	2302	762	972	837	1117	767	1104	2377
"gene:Rv0138"	506	446	276	422	393	137	111	94	67	82	176	194
"gene:Rv0139"	2246	2184	827	1166	813	214	733	490	193	304	389	598
"gene:Rv0140"	497	485	702	981	3975	1974	284	231	345	307	5474	5940
"gene:Rv0141c"	1379	1247	453	604	2091	825	753	769	299	313	966	1279
"gene:Rv0142"	1599	1660	1148	1707	1793	403	2617	2853	1238	947	1148	3299
"gene:Rv0143c"	3326	3543	1625	2299	2262	1092	1682	1194	497	656	1065	2723
"gene:Rv0144"	7572	6732	789	1008	4580	1354	3469	3376	1690	2272	925	2130
"gene:Rv0145"	16475	16488	1024	1250	11120	5901	9365	8304	2340	4129	11750	12787
"gene:Rv0146"	2237	2205	293	412	2790	1355	890	1057	304	341	3801	3927
"gene:Rv0147"	6700	7427	3479	4755	8234	1981	7409	7112	2984	2841	4754	7656
"gene:Rv0148"	4060	3871	1829	2583	4058	813	2572	2636	2987	2280	1719	3265
"gene:Rv0149"	3554	3644	1021	1439	2680	554	1526	1399	1897	1636	1280	2542
"gene:Rv0150c"	37	29	35	55	82	29	2	3	5	4	24	41
"gene:Rv0151c"	504	496	180	251	1654	375	247	176	104	104	363	316
"gene:Rv0152c"	472	399	219	299	449	176	186	134	105	97	197	266
"gene:Rv0153c"	1489	1416	357	503	987	182	870	733	487	351	361	1025
"gene:Rv0154c"	2534	2343	950	1218	2050	516	2005	1585	1082	738	642	2185
"gene:Rv0155"	1408	1379	351	539	404	94	180	126	40	65	90	247
"gene:Rv0156"	558	503	73	118	131	27	97	55	7	13	13	59
"gene:Rv0157"	5792	5810	811	1186	1297	246	1767	1375	249	426	334	971
"gene:Rv0157A"	860	898	293	412	2670	1204	1525	1296	338	439	1139	1074
"gene:Rv0158"	1933	1733	375	437	859	245	735	641	129	136	387	685
"gene:Rv0159c"	204	222	378	712	1604	274	105	71	36	32	211	100
"gene:Rv0160c"	75	91	689	1086	2228	331	66	58	61	54	186	166
"gene:Rv0161"	509	549	412	563	322	100	341	240	128	141	109	238
"gene:Rv0162c"	783	855	1138	1486	503	215	810	646	238	326	303	357
"gene:Rv0163"	288	369	92	115	251	101	264	241	41	51	111	123
"gene:Rv0164"	3534	3434	380	552	1953	513	1345	1385	357	616	444	752
"gene:Rv0165c"	2574	2141	1260	1807	1033	566	999	644	844	870	1088	800
"gene:Rv0166"	12345	10534	1288	1606	2893	1055	10632	8855	1865	2467	2146	1543
"gene:Rv0167"	8180	7574	499	768	1656	637	7385	7056	1424	1761	1087	923
"gene:Rv0168"	3833	3326	213	285	799	321	1435	1174	290	432	687	496
"gene:Rv0169"	6722	6504	268	331	897	279	3578	3461	616	854	993	649
"gene:Rv0170"	4680	4447	164	245	652	207	1790	1820	427	619	553	454
"gene:Rv0171"	16295	16215	691	800	1489	458	9768	10865	5099	4160	1256	1140
"gene:Rv0172"	11935	12535	396	508	1386	437	4656	6269	925	1302	826	1211
"gene:Rv0173"	8054	8251	253	344	596	194	3332	4829	666	1005	349	484
"gene:Rv0174"	20215	19441	1441	2060	3370	843	8626	10771	2160	3155	1094	1809
"gene:Rv0175"	13008	13543	1295	1702	5841	1781	7494	6200	1977	2866	1651	3112
"gene:Rv0176"	4883	4743	149	199	1129	358	1168	1043	236	351	299	845
"gene:Rv0177"	4357	3923	188	238	1825	676	974	832	341	420	628	1080
"gene:Rv0178"	5618	5211	297	407	2303	766	1393	1346	510	623	1042	1594
"gene:Rv0179c"	5891	5106	3803	5554	3904	569	1865	1097	399	371	1000	1119
"gene:Rv0180c"	1834	1696	5345	8023	1709	424	871	791	272	258	470	1372
"gene:Rv0181c"	1202	1135	4763	6975	825	238	415	257	217	183	382	1225
"gene:Rv0182c"	2850	3002	9794	13988	2937	1050	1459	951	626	510	1199	3945
"gene:Rv0183"	3098	2822	328	504	989	235	1134	724	197	231	247	408
"gene:Rv0184"	2648	2269	282	399	907	177	1190	811	151	184	194	517
"gene:Rv0185"	1298	1328	162	227	454	73	791	597	156	155	117	288
"gene:Rv0186"	6490	6685	1152	1665	2528	633	3207	2395	1325	1204	872	1730
"gene:Rv0186A"	3349	3659	34096	44227	46306	52134	5237	4088	3038	2575	144442	99827
"gene:Rv0187"	1151	1172	532	691	818	233	636	572	225	237	394	1293
"gene:Rv0188"	2698	2969	1258	1559	24408	8145	8923	9562	9766	6262	11278	55222
"gene:Rv0189c"	7263	7484	1132	1490	3944	1313	4175	3367	970	946	1589	2078
"gene:Rv0190"	2719	2522	2611	3203	5237	2691	2426	1964	1335	1233	5017	8593
"gene:Rv0191"	3486	3515	2597	3447	2038	675	1782	1228	979	1006	1857	4098
"gene:Rv0192"	2947	2833	1473	2025	1914	533	1330	1280	669	907	652	1613
"gene:Rv0192A"	0	0	0	0	0	0	0	0	0	0	0	0
"gene:Rv0193c"	343	316	172	217	652	168	161	129	43	71	101	258
"gene:Rv0194"	285	322	1503	2282	583	162	148	130	93	139	264	559
"gene:Rv0195"	176	284	820	1012	405	536	58	71	60	50	357	196
"gene:Rv0196"	124	94	261	375	365	125	24	10	14	9	170	506
"gene:Rv0197"	487	494	1336	1854	2313	802	300	207	207	251	676	1965
"gene:Rv0198c"	7410	6967	1344	1726	5634	1536	2340	2005	952	834	1682	3686
"gene:Rv0199"	1237	1231	842	1191	619	189	671	554	164	208	142	184
"gene:Rv0200"	1520	1472	812	1175	682	133	1054	821	240	280	160	266
"gene:Rv0201c"	2177	2053	871	1221	1746	622	933	747	671	729	899	1072
"gene:Rv0202c"	14678	14284	23583	32501	23919	10767	10251	7496	37835	40506	10991	23551
"gene:Rv0203"	1249	1148	305	378	909	264	380	296	63	73	274	451
"gene:Rv0204c"	2885	2994	342	449	2058	542	1256	851	278	355	584	797
"gene:Rv0205"	1150	1021	365	568	390	98	388	275	63	100	134	227
"gene:Rv0206c"	29801	27299	5672	8224	17337	2717	21378	17586	9073	8539	5881	7368
"gene:Rv0207c"	5711	5107	927	1110	4150	773	7415	6058	2674	1713	1678	1889
"gene:Rv0208c"	2609	2362	335	472	2769	671	1312	914	1168	828	1320	1001
"gene:Rv0209"	857	926	1154	1555	1167	217	528	401	488	629	438	665
"gene:Rv0210"	591	592	608	897	556	113	322	282	178	223	250	316
"gene:Rv0211"	13774	14126	6203	8403	59125	21273	10334	9540	10842	8624	16580	16472
"gene:Rv0212c"	411	443	1362	1743	1469	903	161	129	206	255	599	618
"gene:Rv0213c"	381	316	183	237	799	222	93	61	70	98	178	256
"gene:Rv0214"	437	442	584	751	794	173	231	164	170	166	190	303
"gene:Rv0215c"	1405	1502	320	420	867	272	921	857	333	254	317	392
"gene:Rv0216"	611	604	179	279	586	244	210	184	111	127	337	433
"gene:Rv0217c"	625	680	307	445	444	155	309	280	90	93	175	338
"gene:Rv0218"	394	373	130	178	483	148	226	166	119	129	158	302
"gene:Rv0219"	79	101	32	46	97	42	56	49	26	33	27	59
"gene:Rv0220"	13291	13636	961	1306	4656	899	10503	8623	2019	2265	1192	2539
"gene:Rv0221"	4591	4136	263	345	1462	246	2434	2290	603	681	299	585
"gene:Rv0222"	2433	2413	215	235	761	115	1183	1237	424	386	159	397
"gene:Rv0223c"	751	770	1989	2898	1633	521	1712	1560	1134	903	2438	2585
"gene:Rv0224c"	369	420	71	77	284	104	177	97	20	48	157	147
"gene:Rv0225"	3353	3070	1611	2233	799	271	728	508	137	218	356	730
"gene:Rv0226c"	1676	1812	243	359	392	119	596	506	36	67	143	248
"gene:Rv0227c"	4018	4107	297	412	1926	589	2322	2224	164	241	750	999
"gene:Rv0228"	1186	1314	684	953	760	205	553	363	115	155	220	650
"gene:Rv0229c"	3486	3183	585	710	1833	926	1067	1324	365	307	1644	1705
"gene:Rv0230c"	3444	3068	405	447	2025	633	1891	2217	1313	1079	928	1471
"gene:Rv0231"	1221	1096	374	506	2012	629	881	774	97	126	1008	694
"gene:Rv0232"	976	1091	3265	4101	4176	3442	2817	3654	361	354	10202	11584
"gene:Rv0233"	1702	1734	4120	5625	7624	5110	4236	3917	811	683	14310	23859
"gene:Rv0234c"	3753	3967	734	903	2684	799	2683	2752	1053	949	713	1539
"gene:Rv0235c"	816	832	306	403	711	762	334	426	81	89	172	208
"gene:Rv0236c"	12159	12164	991	1383	2588	626	3550	2765	328	620	713	1833
"gene:Rv0236A"	1403	1062	127	171	819	296	531	362	58	94	142	296
"gene:Rv0237"	2865	2670	340	539	912	201	820	627	163	281	210	399
"gene:Rv0238"	2116	1943	1539	1863	2096	832	1537	1408	557	842	1594	2453
"gene:Rv0239"	2963	3175	1146	1503	2237	756	2453	2019	795	933	993	2223
"gene:Rv0240"	854	828	577	766	601	227	356	295	127	220	191	665
"gene:Rv0241c"	5931	6007	833	1204	1566	387	7285	4315	449	740	681	871
"gene:Rv0242c"	10278	11290	2035	3002	3430	1002	12632	7605	594	981	1669	2166
"gene:Rv0243"	31887	33552	9305	13553	8089	2205	35518	20627	4396	7537	2982	5146
"gene:Rv0244c"	3558	4118	3357	4435	25953	4807	2299	2433	773	560	28988	12504
"gene:Rv0245"	990	1133	523	622	2764	730	1232	980	578	592	1777	1880
"gene:Rv0246"	433	471	138	171	933	269	494	379	40	55	339	478
"gene:Rv0247c"	3612	3506	771	1012	1580	266	1935	1902	392	544	1055	1655
"gene:Rv0248c"	11053	10688	2648	3657	5323	1367	3903	3625	892	1141	3940	7768
"gene:Rv0249c"	5020	4509	2137	2780	3886	1144	1065	897	611	805	3773	6852
"gene:Rv0250c"	6294	5754	4505	6118	8093	2291	5474	5465	2833	3408	12467	19840
"gene:Rv0251c"	2515	2092	30545	40553	72790	14705	5231	4568	13132	18679	114799	151621
"gene:Rv0252"	6842	5669	260	322	25869	10603	1259	816	240	315	377	4780
"gene:Rv0253"	437	500	27	51	2780	766	244	256	26	37	51	509
"gene:Rv0254c"	317	277	234	372	382	86	397	362	61	76	144	365
"gene:Rv0255c"	1318	1437	1143	1685	973	206	790	707	416	460	414	960
"gene:Rv0256c"	1740	1763	1243	1795	1907	529	1157	970	2126	2278	805	1232
"gene:Rv0257"	463	480	420	600	858	240	628	618	432	470	345	1101
"gene:Rv0258c"	395	424	430	647	492	203	642	611	447	255	261	332
"gene:Rv0259c"	220	184	751	1142	454	166	59	62	40	86	64	118
"gene:Rv0260c"	323	225	850	1187	1148	356	25	13	12	11	23	60
"gene:Rv0261c"	223	186	1680	2646	236	75	63	51	114	71	51	188
"gene:Rv0262c"	1372	1483	1466	2208	1585	374	1214	1254	1129	780	641	1373
"gene:Rv0263c"	1519	1595	2192	3059	1881	283	1276	995	1832	761	277	486
"gene:Rv0264c"	1098	1030	1265	1912	1087	217	519	474	548	250	186	304
"gene:Rv0265c"	2277	2431	2796	3996	1280	505	782	655	178	231	510	667
"gene:Rv0266c"	1855	1831	14393	21279	3561	1090	1097	656	507	649	1070	2006
"gene:Rv0267"	105	83	134	151	658	322	19	21	24	13	38	107
"gene:Rv0268c"	1626	1553	3471	4496	6941	4249	1421	1052	415	436	3139	2305
"gene:Rv0269c"	1078	1098	7557	10979	545	121	744	514	217	314	243	613
"gene:Rv0270"	17014	17299	11841	17044	11752	2948	26494	26388	13116	15541	8193	14993
"gene:Rv0271c"	4370	4643	41037	56645	6187	2487	5642	5910	895	1145	2293	3884
"gene:Rv0272c"	1500	1456	20081	27160	1847	565	925	932	460	511	1161	2914
"gene:Rv0273c"	689	674	16952	22120	775	367	368	380	118	210	550	1145
"gene:Rv0274"	999	955	1808	2382	1232	694	1665	1927	589	560	1020	1208
"gene:Rv0275c"	1391	1510	32380	41924	6387	4405	1311	1201	1255	2400	5687	10223
"gene:Rv0276"	5773	6053	12175	15566	13914	8805	3751	3786	5445	5922	21177	7463
"gene:Rv0277c"	5383	5195	1851	2567	3266	1358	2417	2170	1179	1859	2058	4306
"gene:Rv0278c"	891	1015	843	1188	3900	465	954	715	403	468	623	474
"gene:Rv0279c"	3178	3534	1272	1894	6692	1070	3646	2457	826	981	1319	1209
"gene:Rv0280"	39274	39820	8605	11243	2838	643	25867	12607	2286	2206	1035	491
"gene:Rv0281"	12617	12319	3900	5017	3247	1006	9215	5175	1282	1280	1032	4155
"gene:Rv0282"	72710	71028	19771	26963	16153	3427	33138	21022	7075	9591	3497	15952
"gene:Rv0283"	42019	42622	9761	13847	7200	985	27709	15183	5148	7043	1605	9602
"gene:Rv0284"	64418	62720	15940	21470	10114	1131	55738	32466	8487	11039	1510	12234
"gene:Rv0285"	4918	6021	2293	3361	625	70	7960	4957	888	1178	122	1128
"gene:Rv0286"	19684	21854	5636	8375	2180	282	26072	16724	3428	3981	404	3046
"gene:Rv0287"	9451	11121	4925	7053	982	164	33316	21731	2398	2821	240	1974
"gene:Rv0288"	12842	15005	6343	9090	1057	253	34649	22237	3807	4481	481	2039
"gene:Rv0289"	29078	33771	36322	60890	11112	4231	74919	42380	15745	23026	7607	9809
"gene:Rv0290"	32608	35449	10040	15832	1977	564	81074	43440	8994	11437	484	5644
"gene:Rv0291"	24819	26403	7144	10539	1586	470	60066	30947	6326	8501	602	4024
"gene:Rv0292"	12185	12565	2315	3368	788	146	16110	8620	2900	3170	139	1404
"gene:Rv0293c"	5810	5977	2312	2895	11282	3427	3844	2742	4735	2908	4300	12528
"gene:Rv0294"	121	118	211	305	452	128	49	26	32	34	119	54
"gene:Rv0295c"	2216	2127	287	328	942	224	656	493	392	369	394	703
"gene:Rv0296c"	1268	1248	344	408	1336	441	278	223	80	96	619	902
"gene:Rv0297"	5321	5675	2210	3371	8750	2878	9508	8685	10564	6923	5060	6989
"gene:Rv0298"	2679	2586	2094	2651	2545	590	932	929	603	856	1522	4638
"gene:Rv0299"	3304	3209	1640	2523	1955	593	987	914	620	950	1727	4614
"gene:Rv0300"	2636	2194	1442	1729	2198	672	875	824	509	785	1193	3219
"gene:Rv0301"	2294	1934	930	1449	1574	505	475	444	366	509	784	2138
"gene:Rv0302"	1466	1192	3453	4864	2028	1030	828	619	405	423	13892	12339
"gene:Rv0303"	1379	1248	2167	2998	1192	412	634	546	322	331	8126	9602
"gene:Rv0304c"	589	516	231	324	555	175	205	186	182	161	147	344
"gene:Rv0305c"	905	951	669	885	1574	325	673	512	749	579	359	695
"gene:Rv0306"	132	146	377	492	233	68	80	61	53	57	51	130
"gene:Rv0307c"	867	1044	755	1046	1626	369	1075	1125	532	458	649	2269
"gene:Rv0308"	3428	3641	720	976	1735	343	2080	1998	473	463	375	1043
"gene:Rv0309"	4520	4753	1116	1639	2759	613	2515	2256	1317	941	848	1563
"gene:Rv0310c"	244	201	572	678	119	52	76	50	33	36	35	81
"gene:Rv0311"	1079	1434	560	747	1681	476	1491	1649	1050	605	808	2487
"gene:Rv0312"	2590	2401	324	430	1295	196	1223	827	318	220	294	545
"gene:Rv0313"	3955	4102	9649	11558	11588	6882	3287	2828	2184	2234	9201	22911
"gene:Rv0314c"	2638	2658	592	826	2601	873	1754	1429	510	670	1412	1323
"gene:Rv0315"	4061	3540	10260	12986	2369	691	978	560	281	1255	637	3023
"gene:Rv0316"	1075	1096	7061	8933	790	173	320	216	78	426	189	631
"gene:Rv0317c"	3102	3395	727	1001	1713	728	1352	1133	618	620	801	1055
"gene:Rv0318c"	240	199	118	168	374	139	140	89	18	27	144	159
"gene:Rv0319"	734	698	5170	6716	419	126	354	265	76	128	110	263
"gene:Rv0320"	298	299	2475	3578	192	239	55	35	19	27	129	882
"gene:Rv0321"	590	631	1996	2713	614	221	259	241	60	78	183	496
"gene:Rv0322"	365	348	3609	5067	624	183	210	112	89	101	191	194
"gene:Rv0323c"	421	423	373	484	993	367	945	697	184	172	1181	1253
"gene:Rv0324"	311	288	2483	3400	624	337	220	151	291	341	2431	2555
"gene:Rv0325"	92	106	360	616	172	50	68	63	106	87	472	467
"gene:Rv0326"	147	166	1409	2182	186	74	54	27	86	120	369	604
"gene:Rv0327c"	64	69	554	726	401	266	25	31	37	47	17874	6710
"gene:Rv0328"	1100	973	2838	3795	1820	1134	398	291	242	274	21245	20296
"gene:Rv0329c"	85	70	70	85	110	40	22	5	7	9	408	396
"gene:Rv0330c"	140	110	215	282	450	189	38	22	37	37	1209	1383
